         2746731 function calls (2746170 primitive calls) in 40.260 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.952    0.952 csr_mat_INT32_t_COMPLEX64_t.py:1(__bootstrap__)
        1    0.000    0.000    0.951    0.951 csr_mat_INT32_t_FLOAT128_t.py:1(<module>)
        1    0.000    0.000    0.951    0.951 csr_mat_INT32_t_FLOAT128_t.py:1(__bootstrap__)
        1    0.000    0.000    0.948    0.948 csr_mat_INT32_t_FLOAT32_t.py:1(<module>)
        1    0.000    0.000    0.948    0.948 csr_mat_INT32_t_FLOAT32_t.py:1(__bootstrap__)
        1    0.000    0.000    0.949    0.949 csr_mat_INT32_t_FLOAT64_t.py:1(<module>)
        1    0.000    0.000    0.949    0.949 csr_mat_INT32_t_FLOAT64_t.py:1(__bootstrap__)
        1    0.000    0.000    1.263    1.263 csr_mat_INT32_t_INT32_t.py:1(<module>)
        1    0.000    0.000    1.263    1.263 csr_mat_INT32_t_INT32_t.py:1(__bootstrap__)
        1    0.000    0.000    0.951    0.951 csr_mat_INT32_t_INT64_t.py:1(<module>)
        1    0.000    0.000    0.951    0.951 csr_mat_INT32_t_INT64_t.py:1(__bootstrap__)
        1    0.000    0.000    0.638    0.638 csr_mat_INT64_t_COMPLEX128_t.py:1(<module>)
        1    0.000    0.000    0.638    0.638 csr_mat_INT64_t_COMPLEX128_t.py:1(__bootstrap__)
        1    0.000    0.000    0.658    0.658 csr_mat_INT64_t_COMPLEX256_t.py:1(<module>)
        1    0.000    0.000    0.658    0.658 csr_mat_INT64_t_COMPLEX256_t.py:1(__bootstrap__)
        1    0.000    0.000    0.628    0.628 csr_mat_INT64_t_COMPLEX64_t.py:1(<module>)
        1    0.000    0.000    0.628    0.628 csr_mat_INT64_t_COMPLEX64_t.py:1(__bootstrap__)
        1    0.000    0.000    0.627    0.627 csr_mat_INT64_t_FLOAT128_t.py:1(<module>)
        1    0.000    0.000    0.627    0.627 csr_mat_INT64_t_FLOAT128_t.py:1(__bootstrap__)
        1    0.000    0.000    0.626    0.626 csr_mat_INT64_t_FLOAT32_t.py:1(<module>)
        1    0.000    0.000    0.626    0.626 csr_mat_INT64_t_FLOAT32_t.py:1(__bootstrap__)
        1    0.000    0.000    0.629    0.629 csr_mat_INT64_t_FLOAT64_t.py:1(<module>)
        1    0.000    0.000    0.629    0.629 csr_mat_INT64_t_FLOAT64_t.py:1(__bootstrap__)
        1    0.000    0.000    0.937    0.937 csr_mat_INT64_t_INT32_t.py:1(<module>)
        1    0.000    0.000    0.937    0.937 csr_mat_INT64_t_INT32_t.py:1(__bootstrap__)
        1    0.000    0.000    0.631    0.631 csr_mat_INT64_t_INT64_t.py:1(<module>)
        1    0.000    0.000    0.631    0.631 csr_mat_INT64_t_INT64_t.py:1(__bootstrap__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:150(_ndptr)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        1    0.001    0.001    0.002    0.002 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.311    0.311 cysparse_numpy_types.py:1(<module>)
        1    0.000    0.000    0.311    0.311 cysparse_numpy_types.py:1(__bootstrap__)
        1    0.000    0.000    0.314    0.314 cysparse_types.py:1(<module>)
        1    0.000    0.000    0.314    0.314 cysparse_types.py:1(__bootstrap__)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1668(chararray)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:206(matrix)
        1    0.000    0.000    0.000    0.000 difflib.py:1672(HtmlDiff)
        1    0.000    0.000    0.000    0.000 difflib.py:29(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:46(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 difflib.py:766(Differ)
